#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:35:20
# Spline RMSE gcc_mean: 0.00376
# Spline RMSE gcc_50: 0.00388
# Spline RMSE gcc_75: 0.00389
# Spline RMSE gcc_90: 0.00431
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,1000,rising,gcc_50,2019-05-13,2019-05-17,2019-05-22,2019-05-08,2019-05-16,2019-05-20,2019-05-15,2019-05-18,2019-05-23,0.30975,0.32613,0.35853,0.29869,0.41039
harvardbarn2,DB,1000,rising,gcc_50,2020-05-14,2020-05-18,2020-05-23,2020-04-28,2020-05-17,2020-05-21,2020-05-17,2020-05-20,2020-05-24,0.31174,0.32452,0.35756,0.30113,0.4074
harvardbarn2,DB,1000,rising,gcc_mean,2012-05-04,2012-05-07,2012-05-12,2012-05-03,2012-05-06,2012-05-10,2012-05-06,2012-05-08,2012-05-13,0.30877,0.32373,0.35487,0.30112,0.39622
harvardbarn2,DB,1000,rising,gcc_mean,2013-05-05,2013-05-08,2013-05-14,2013-05-04,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.30897,0.32385,0.35886,0.30126,0.40542
harvardbarn2,DB,1000,rising,gcc_mean,2014-05-12,2014-05-15,2014-05-20,2014-05-11,2014-05-14,2014-05-19,2014-05-14,2014-05-17,2014-05-21,0.30665,0.32135,0.35876,0.2995,0.41023
harvardbarn2,DB,1000,rising,gcc_mean,2015-05-07,2015-05-10,2015-05-14,2015-05-06,2015-05-09,2015-05-13,2015-05-09,2015-05-11,2015-05-15,0.31804,0.33585,0.36664,0.31053,0.41869
harvardbarn2,DB,1000,rising,gcc_mean,2016-05-09,2016-05-15,2016-05-20,2016-05-06,2016-05-14,2016-05-19,2016-05-12,2016-05-17,2016-05-21,0.31425,0.33198,0.3644,0.30314,0.4237
harvardbarn2,DB,1000,rising,gcc_mean,2017-05-11,2017-05-14,2017-05-19,2017-05-09,2017-05-13,2017-05-18,2017-05-13,2017-05-16,2017-05-20,0.3178,0.33345,0.37223,0.30633,0.43197
harvardbarn2,DB,1000,rising,gcc_mean,2018-05-08,2018-05-12,2018-05-17,2018-05-07,2018-05-11,2018-05-15,2018-05-10,2018-05-13,2018-05-18,0.31342,0.33025,0.36015,0.30477,0.40782
harvardbarn2,DB,1000,rising,gcc_mean,2019-05-13,2019-05-17,2019-05-22,2019-05-09,2019-05-16,2019-05-21,2019-05-15,2019-05-18,2019-05-23,0.30779,0.3242,0.3569,0.29676,0.41001
harvardbarn2,DB,1000,rising,gcc_mean,2020-05-11,2020-05-18,2020-05-23,2020-04-26,2020-05-17,2020-05-21,2020-05-16,2020-05-19,2020-05-24,0.30991,0.32528,0.35739,0.29946,0.40547
harvardbarn2,DB,1000,falling,gcc_90,2019-10-19,2019-10-15,2019-10-09,2019-10-20,2019-10-16,2019-10-11,2019-10-16,2019-10-13,2019-10-08,0.30837,0.3261,0.35626,0.30121,0.40604
harvardbarn2,DB,1000,falling,gcc_90,2018-10-29,2018-10-24,2018-10-11,2018-10-30,2018-10-27,2018-10-15,2018-10-27,2018-10-19,2018-10-09,0.32861,0.34506,0.37026,0.32367,0.41234
