#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:35:07
# Spline RMSE gcc_mean: 0.00291
# Spline RMSE gcc_50: 0.00291
# Spline RMSE gcc_75: 0.00304
# Spline RMSE gcc_90: 0.00342
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,rising,gcc_50,2016-05-08,2016-05-12,2016-05-18,2016-05-07,2016-05-11,2016-05-17,2016-05-10,2016-05-14,2016-05-19,0.3015,0.31482,0.3441,0.29258,0.39501
harvardbarn,DB,1000,rising,gcc_50,2017-05-02,2017-05-10,2017-05-16,2017-04-29,2017-05-09,2017-05-15,2017-05-05,2017-05-12,2017-05-17,0.30366,0.31616,0.3433,0.294,0.39064
harvardbarn,DB,1000,rising,gcc_50,2018-05-06,2018-05-09,2018-05-14,2018-05-05,2018-05-08,2018-05-13,2018-05-08,2018-05-11,2018-05-15,0.30632,0.31741,0.34762,0.29624,0.39891
harvardbarn,DB,1000,rising,gcc_50,2019-05-08,2019-05-13,2019-05-19,2019-05-07,2019-05-12,2019-05-18,2019-05-11,2019-05-15,2019-05-20,0.30572,0.31926,0.34718,0.29805,0.39397
harvardbarn,DB,1000,rising,gcc_50,2020-05-11,2020-05-17,2020-05-22,2020-05-08,2020-05-16,2020-05-21,2020-05-14,2020-05-18,2020-05-23,0.30608,0.32162,0.35666,0.29461,0.41013
harvardbarn,DB,1000,rising,gcc_50,2021-05-08,2021-05-11,2021-05-17,2021-05-06,2021-05-10,2021-05-16,2021-05-09,2021-05-13,2021-05-18,0.31525,0.32772,0.36349,0.30473,0.41357
harvardbarn,DB,1000,rising,gcc_50,2022-05-09,2022-05-12,2022-05-16,2022-05-08,2022-05-11,2022-05-15,2022-05-11,2022-05-13,2022-05-17,0.3165,0.32937,0.36046,0.30675,0.41096
harvardbarn,DB,1000,rising,gcc_mean,2012-04-25,2012-05-03,2012-05-10,2012-04-21,2012-05-02,2012-05-08,2012-04-29,2012-05-05,2012-05-11,0.30658,0.31762,0.34651,0.29784,0.38728
harvardbarn,DB,1000,rising,gcc_mean,2013-05-02,2013-05-05,2013-05-11,2013-04-30,2013-05-04,2013-05-09,2013-05-04,2013-05-07,2013-05-12,0.29861,0.3095,0.3382,0.2896,0.3811
harvardbarn,DB,1000,rising,gcc_mean,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-16,2014-05-10,2014-05-14,2014-05-18,0.30122,0.31361,0.34195,0.29187,0.39136
harvardbarn,DB,1000,rising,gcc_mean,2015-05-04,2015-05-07,2015-05-12,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30166,0.31377,0.34096,0.29468,0.38667
harvardbarn,DB,1000,rising,gcc_mean,2016-05-08,2016-05-12,2016-05-18,2016-05-07,2016-05-11,2016-05-17,2016-05-10,2016-05-14,2016-05-19,0.30108,0.31438,0.34387,0.29275,0.39311
harvardbarn,DB,1000,rising,gcc_mean,2017-05-01,2017-05-10,2017-05-16,2017-04-29,2017-05-09,2017-05-15,2017-05-05,2017-05-12,2017-05-17,0.30247,0.3162,0.34333,0.29406,0.38934
harvardbarn,DB,1000,rising,gcc_mean,2018-05-05,2018-05-09,2018-05-14,2018-05-04,2018-05-08,2018-05-13,2018-05-07,2018-05-11,2018-05-15,0.30425,0.31842,0.34697,0.29572,0.39509
harvardbarn,DB,1000,rising,gcc_mean,2019-05-08,2019-05-13,2019-05-19,2019-05-07,2019-05-12,2019-05-18,2019-05-11,2019-05-15,2019-05-20,0.3052,0.31851,0.34608,0.29769,0.39205
harvardbarn,DB,1000,rising,gcc_mean,2020-05-10,2020-05-17,2020-05-22,2020-05-07,2020-05-16,2020-05-20,2020-05-13,2020-05-18,2020-05-23,0.30518,0.32257,0.35608,0.29461,0.40788
harvardbarn,DB,1000,rising,gcc_mean,2021-05-07,2021-05-11,2021-05-17,2021-05-06,2021-05-10,2021-05-15,2021-05-09,2021-05-13,2021-05-18,0.31294,0.32832,0.3638,0.30442,0.41125
harvardbarn,DB,1000,rising,gcc_mean,2022-05-08,2022-05-12,2022-05-16,2022-05-07,2022-05-11,2022-05-15,2022-05-10,2022-05-13,2022-05-17,0.31401,0.32953,0.35942,0.3061,0.40713
harvardbarn,DB,1000,falling,gcc_90,2021-11-03,2021-10-31,2021-10-23,2021-11-04,2021-11-01,2021-10-25,2021-11-01,2021-10-29,2021-10-22,0.31849,0.33124,0.359,0.31188,0.40425
harvardbarn,DB,1000,falling,gcc_90,2020-10-22,2020-10-19,2020-10-13,2020-10-23,2020-10-20,2020-10-15,2020-10-20,2020-10-17,2020-10-12,0.31492,0.32786,0.35749,0.30826,0.40162
harvardbarn,DB,1000,falling,gcc_90,2019-10-22,2019-10-20,2019-10-14,2019-10-23,2019-10-21,2019-10-16,2019-10-21,2019-10-18,2019-10-13,0.3123,0.32162,0.34736,0.30458,0.3872
harvardbarn,DB,1000,falling,gcc_90,2018-11-03,2018-10-29,2018-10-17,2018-11-04,2018-10-31,2018-10-21,2018-10-31,2018-10-27,2018-10-14,0.31641,0.32983,0.3516,0.31104,0.39014
harvardbarn,DB,1000,falling,gcc_90,2017-11-06,2017-11-03,2017-10-26,2017-11-07,2017-11-04,2017-10-28,2017-11-05,2017-11-01,2017-10-25,0.3083,0.32095,0.3474,0.30059,0.38924
