#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:34:48
# Spline RMSE gcc_mean: 0.00384
# Spline RMSE gcc_50: 0.00372
# Spline RMSE gcc_75: 0.00403
# Spline RMSE gcc_90: 0.00478
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_75,2019-05-05,2019-05-10,2019-05-18,2019-05-02,2019-05-09,2019-05-16,2019-05-07,2019-05-12,2019-05-19,0.38468,0.39666,0.42705,0.37574,0.46961
harvard,DB,1000,rising,gcc_75,2020-05-11,2020-05-15,2020-05-21,2020-05-10,2020-05-14,2020-05-20,2020-05-14,2020-05-17,2020-05-22,0.38257,0.39443,0.42136,0.37553,0.46497
harvard,DB,1000,rising,gcc_75,2021-05-04,2021-05-09,2021-05-15,2021-05-02,2021-05-08,2021-05-14,2021-05-06,2021-05-11,2021-05-16,0.38615,0.3999,0.42556,0.3772,0.4721
harvard,DB,1000,rising,gcc_75,2022-05-05,2022-05-09,2022-05-15,2022-05-03,2022-05-08,2022-05-13,2022-05-07,2022-05-11,2022-05-16,0.3844,0.39451,0.42078,0.37586,0.4641
harvard,DB,1000,rising,gcc_50,2008-05-02,2008-05-07,2008-05-15,2008-04-29,2008-05-06,2008-05-13,2008-05-04,2008-05-09,2008-05-16,0.37315,0.38411,0.40969,0.36471,0.44964
harvard,DB,1000,rising,gcc_50,2009-04-25,2009-05-02,2009-05-10,2009-04-20,2009-05-01,2009-05-08,2009-04-28,2009-05-04,2009-05-11,0.37232,0.38433,0.41107,0.36372,0.45258
harvard,DB,1000,rising,gcc_50,2010-04-18,2010-04-25,2010-05-03,2010-04-02,2010-04-24,2010-05-01,2010-04-21,2010-04-27,2010-05-04,0.37334,0.38542,0.41453,0.36427,0.45625
harvard,DB,1000,rising,gcc_50,2011-04-30,2011-05-06,2011-05-14,2011-04-26,2011-05-05,2011-05-12,2011-05-03,2011-05-09,2011-05-15,0.37401,0.38569,0.41238,0.36523,0.4565
harvard,DB,1000,rising,gcc_50,2012-04-21,2012-04-30,2012-05-08,2012-04-13,2012-04-29,2012-05-06,2012-04-25,2012-05-02,2012-05-09,0.37715,0.38915,0.41579,0.36796,0.46143
harvard,DB,1000,rising,gcc_50,2013-04-27,2013-05-03,2013-05-10,2013-04-25,2013-05-02,2013-05-09,2013-04-29,2013-05-05,2013-05-11,0.37587,0.3888,0.41328,0.36729,0.45923
